2024-01-04;20:21:05;631;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;9;7d1h
2024-01-04;20:21:20;649;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;20:21:50;686;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;7532/100;(avg);1;100;1;7d1h
2024-01-04;20:22:05;708;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d1h
2024-01-04;20:22:20;730;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d1h
2024-01-04;20:22:35;751;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;7d1h
2024-01-04;20:22:50;777;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;32;7d1h
2024-01-04;20:23:05;798;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;64;7d1h
2024-01-04;20:23:20;819;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;76;7d1h
2024-01-04;20:24:39;518;;NAME;REFERENCE;TARGETS;MINPODS;MAXPODS;REPLICAS;AGE
2024-01-04;20:24:39;524;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;76;7d1h
2024-01-04;20:26:51;065;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;76;7d1h
2024-01-04;20:27:06;081;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;20:29:06;215;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;91/100;(avg);1;100;1;7d1h
2024-01-04;20:29:21;248;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;2223/100;(avg);1;100;1;7d1h
2024-01-04;20:29:36;278;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;4;7d1h
2024-01-04;20:29:51;303;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;8;7d1h
2024-01-04;20:30:06;323;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;16;7d1h
2024-01-04;20:30:21;345;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;23;7d1h
2024-01-04;20:34:21;611;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;23;7d1h
2024-01-04;20:34:36;628;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;0/100;(avg);1;100;1;7d1h
2024-01-04;20:38:21;869;;keda-hpa-python-rabbitmq-scaledobject;Deployment/keda-python-rabbit;87/100;(avg);1;100;1;7d1h
